127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-29 22:38:30, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:31, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:38:58, GET, /hello/default/user/login, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-10-29 22:39:01, GET, /hello/default/user/register, HTTP/1.1, 200, 0.057000
127.0.0.1, 2015-10-29 22:47:45, GET, /, HTTP/1.1, 303, 0.075000
127.0.0.1, 2015-10-29 22:47:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.184000
127.0.0.1, 2015-10-29 22:47:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:47:55, GET, /main, HTTP/1.1, 200, 0.084000
127.0.0.1, 2015-10-29 22:50:16, GET, /main/hello, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-10-29 22:50:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:50:46, GET, /main/hello/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-10-29 22:50:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-29 22:51:43, GET, /main/hello/hello, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-10-29 22:51:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /, HTTP/1.1, 303, 0.003000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.721000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
